id,fork_id,in_dt,emp_x,emp_y
142,TEAM10054239,2019-06-01 09:01:02.127,173032.908741548,252392.202102787
143,TEAM10054239,2019-06-01 09:01:02.091,173033.300680187,252390.227333637
144,TEAM10054239,2019-06-01 09:01:02.060,173033.819890951,252395.458827544
145,TEAM10054239,2019-06-01 09:01:02.028,173033.759824883,252387.786420358
146,TEAM10054239,2019-06-01 09:01:01.996,173033.688246927,252387.698988688
147,TEAM10054239,2019-06-01 09:01:01.964,173033.531739428,252386.09415298
148,TEAM10054239,2019-06-01 09:01:01.930,173032.722764636,252387.729564701
149,TEAM10054239,2019-06-01 09:01:01.895,173032.717255625,252387.72181514
150,TEAM10054239,2019-06-01 09:01:01.853,173033.007283683,252388.091499989
151,TEAM10054239,2019-06-01 09:01:01.821,173034.312383766,252386.328157236
152,TEAM10054239,2019-06-01 09:01:01.787,173034.457737896,252382.899695385
153,TEAM10054239,2019-06-01 09:01:01.752,173032.454708832,252385.504904811
154,TEAM10054239,2019-06-01 09:01:01.719,173033.582266028,252384.310095268
155,TEAM10054239,2019-06-01 09:01:01.686,173033.081490229,252384.722045464
156,TEAM10054239,2019-06-01 09:01:01.652,173033.095097898,252384.685395347
157,TEAM10054239,2019-06-01 09:01:01.618,173033.093298558,252384.695385208
158,TEAM10054239,2019-06-01 09:01:01.578,173033.116098799,252384.675348983
159,TEAM10054239,2019-06-01 09:01:01.546,173033.125324012,252384.70305674
160,TEAM10054239,2019-06-01 09:01:01.509,173033.978985895,252382.406313459
161,TEAM10054239,2019-06-01 09:01:01.468,173034.529059299,252381.656961823
162,TEAM10054239,2019-06-01 09:01:01.363,173034.513047708,252382.119627134
163,TEAM10054239,2019-06-01 09:01:01.326,173034.342513086,252378.855176057
164,TEAM10054239,2019-06-01 09:01:01.291,173035.537609281,252378.239272828
165,TEAM10054239,2019-06-01 09:01:01.257,173035.552317397,252378.265855058
166,TEAM10054239,2019-06-01 09:01:01.224,173035.308244485,252381.7057013
167,TEAM10054239,2019-06-01 09:01:01.190,173036.022449191,252380.801660745
168,TEAM10054239,2019-06-01 09:01:01.156,173035.987599038,252380.76626261
169,TEAM10054239,2019-06-01 09:01:01.120,173035.964746556,252380.768548643
170,TEAM10054239,2019-06-01 09:01:01.088,173035.951116017,252380.797433048
171,TEAM10054239,2019-06-01 09:01:01.058,173035.93832803,252380.801908261
172,TEAM10054239,2019-06-01 09:01:01.026,173035.64202845,252381.719141315
173,TEAM10054239,2019-06-01 09:01:00.997,173035.319466601,252388.937821858
174,TEAM10054239,2019-06-01 09:01:00.968,173036.012627778,252387.718774696
175,TEAM10054239,2019-06-01 09:01:00.938,173036.036812424,252387.858487452
176,TEAM10054239,2019-06-01 09:01:00.904,173036.017499886,252387.820824807
177,TEAM10054239,2019-06-01 09:01:00.867,173036.018153107,252387.732071192
178,TEAM10054239,2019-06-01 09:01:00.829,173036.008885469,252387.689941406
179,TEAM10054239,2019-06-01 09:01:00.792,173035.989749199,252387.712185636
180,TEAM10054239,2019-06-01 09:01:00.756,173035.971262884,252387.644566864
181,TEAM10054239,2019-06-01 09:01:00.727,173035.971978127,252387.576891593
182,TEAM10054239,2019-06-01 09:01:00.694,173035.798426775,252387.01604779
183,TEAM10054239,2019-06-01 09:01:00.663,173035.138473579,252384.915683931
184,TEAM10054239,2019-06-01 09:01:00.629,173034.845575115,252384.502741013
185,TEAM10054239,2019-06-01 09:01:00.598,173034.829139484,252384.510555148
186,TEAM10054239,2019-06-01 09:01:00.566,173034.806296805,252384.516169343
187,TEAM10054239,2019-06-01 09:01:00.533,173034.788012868,252384.51733254
188,TEAM10054239,2019-06-01 09:01:00.504,173034.781625406,252384.52178892
189,TEAM10054239,2019-06-01 09:01:00.468,173034.768951675,252384.565092663
190,TEAM10054239,2019-06-01 09:01:00.432,173034.779162995,252387.72462289
191,TEAM10054239,2019-06-01 09:01:00.397,173033.885278852,252387.228024923
192,TEAM10054239,2019-06-01 09:01:00.364,173033.8514051,252387.213702451
193,TEAM10054239,2019-06-01 09:01:00.334,173033.824829905,252387.19381152
194,TEAM10054239,2019-06-01 09:01:00.302,173035.6211886,252389.242018006
195,TEAM10054239,2019-06-01 09:01:00.268,173036.796075151,252394.499317713
196,TEAM10054239,2019-06-01 09:01:00.234,173036.821657621,252394.492586065
197,TEAM10054239,2019-06-01 09:01:00.197,173036.854620247,252394.508020625
198,TEAM10054239,2019-06-01 09:01:00.163,173036.854506002,252394.469192095
199,TEAM10054239,2019-06-01 09:01:00.132,173036.847684413,252394.326100059
200,TEAM10054239,2019-06-01 09:01:00.096,173036.828205421,252394.231858698
201,TEAM10054239,2019-06-01 09:01:00.067,173036.8032468,252394.139852251
202,TEAM10054239,2019-06-01 09:01:00.035,173036.179716529,252396.338291314
203,TEAM10054239,2019-06-01 09:01:00.002,173036.42864033,252388.953417968
204,TEAM10054239,2019-06-01 09:00:59.969,173037.975962486,252388.71478277
205,TEAM10054239,2019-06-01 09:00:59.931,173046.806733708,252401.085198195
206,TEAM10054239,2019-06-01 09:00:59.880,173055.226345661,252413.878401618
207,TEAM10054239,2019-06-01 09:00:59.847,173064.249269428,252430.355253637
208,TEAM10054239,2019-06-01 09:00:59.817,173075.739795385,252445.198489399
209,TEAM10054239,2019-06-01 09:00:59.784,173087.900012703,252459.872253968
210,TEAM10054239,2019-06-01 09:00:59.746,173100.25127356,252474.228186519
211,TEAM10054239,2019-06-01 09:00:59.714,173112.600563307,252488.860381125
212,TEAM10054239,2019-06-01 09:00:59.679,173127.739082552,252510.205135103
213,TEAM10054239,2019-06-01 09:00:59.639,173146.185377105,252532.388908273
214,TEAM10054239,2019-06-01 09:00:59.604,173161.143029326,252548.224985488
215,TEAM10054239,2019-06-01 09:00:59.573,173176.288928803,252567.477476606
216,TEAM10054239,2019-06-01 09:00:59.538,173190.520847036,252586.876888261
217,TEAM10054239,2019-06-01 09:00:59.503,173206.861377625,252607.592556766
218,TEAM10054239,2019-06-01 09:00:59.468,173224.327926937,252627.552793288
219,TEAM10054239,2019-06-01 09:00:59.438,173238.571435727,252642.847479125
220,TEAM10054239,2019-06-01 09:00:59.401,173253.174365517,252664.452493901
221,TEAM10054239,2019-06-01 09:00:59.365,173273.461300657,252684.9925718
222,TEAM10054239,2019-06-01 09:00:59.330,173301.46933002,252691.595035139
223,TEAM10054239,2019-06-01 09:00:59.284,173322.930855876,252675.963259398
224,TEAM10054239,2019-06-01 09:00:59.251,173343.764673165,252660.458722737
225,TEAM10054239,2019-06-01 09:00:59.221,173365.612301246,252643.91954907
226,TEAM10054239,2019-06-01 09:00:59.188,173385.556855398,252625.35243262
227,TEAM10054239,2019-06-01 09:00:59.159,173405.254738621,252607.772329876
228,TEAM10054239,2019-06-01 09:00:59.126,173424.140910398,252591.190862391
229,TEAM10054239,2019-06-01 09:00:59.091,173445.762375961,252576.012659727
230,TEAM10054239,2019-06-01 09:00:59.060,173470.972728993,252570.938481466
231,TEAM10054239,2019-06-01 09:00:59.031,173492.207991972,252588.153651781
232,TEAM10054239,2019-06-01 09:00:59.003,173508.523992846,252609.478981536
233,TEAM10054239,2019-06-01 09:00:58.971,173521.430288086,252632.370675197
234,TEAM10054239,2019-06-01 09:00:58.936,173534.405273474,252651.841920778
235,TEAM10054239,2019-06-01 09:00:58.885,173550.093070354,252674.172033204
236,TEAM10054239,2019-06-01 09:00:58.845,173561.510393825,252694.762756844
237,TEAM10054239,2019-06-01 09:00:58.811,173572.407020936,252715.218540921
238,TEAM10054239,2019-06-01 09:00:58.771,173579.178049574,252725.181361046
239,TEAM10054239,2019-06-01 09:31:06.502,173579.665288111,252728.31732842
240,TEAM10054239,2019-06-01 09:31:06.470,173574.789636056,252725.949514563
241,TEAM10054239,2019-06-01 09:31:06.432,173569.960334443,252727.289171516
242,TEAM10054239,2019-06-01 09:31:06.398,173572.078848315,252728.241579306
243,TEAM10054239,2019-06-01 09:31:06.366,173573.889216935,252727.2867149
244,TEAM10054239,2019-06-01 09:31:06.334,173573.769595601,252726.706845705
245,TEAM10054239,2019-06-01 09:31:06.302,173573.711794718,252726.638229843
246,TEAM10054239,2019-06-01 09:31:06.272,173573.628495102,252726.605188199
247,TEAM10054239,2019-06-01 09:31:06.235,173573.098809408,252726.505760799
248,TEAM10054239,2019-06-01 09:31:06.202,173570.096833776,252731.818442288
249,TEAM10054239,2019-06-01 09:31:06.171,173570.762975116,252731.043271753
250,TEAM10054239,2019-06-01 09:31:06.144,173574.57743309,252731.94641272
251,TEAM10054239,2019-06-01 09:31:06.112,173571.135816746,252732.873809407
252,TEAM10054239,2019-06-01 09:31:06.079,173570.674094744,252733.830331264
253,TEAM10054239,2019-06-01 09:31:06.046,173569.102885589,252731.794683808
254,TEAM10054239,2019-06-01 09:31:06.012,173574.058043081,252730.978298388
255,TEAM10054239,2019-06-01 09:31:05.983,173579.616594238,252733.309751479
256,TEAM10054239,2019-06-01 09:31:05.949,173594.965923444,252746.784607614
257,TEAM10054239,2019-06-01 09:31:05.915,173609.279539232,252760.352333406
258,TEAM10054239,2019-06-01 09:31:05.877,173620.716082834,252776.586477177
259,TEAM10054239,2019-06-01 09:31:05.839,173631.090934332,252790.237688047
260,TEAM10054239,2019-06-01 09:31:05.802,173643.968696038,252804.674929146
261,TEAM10054239,2019-06-01 09:31:05.764,173655.461334609,252820.425258223
262,TEAM10054239,2019-06-01 09:31:05.725,173668.094809419,252834.197597814
263,TEAM10054239,2019-06-01 09:31:05.682,173677.893041042,252846.096563344
264,TEAM10054239,2019-06-01 09:31:05.643,173688.49800217,252864.158137607
265,TEAM10054239,2019-06-01 09:31:05.606,173695.948045186,252878.86731029
266,TEAM10054239,2019-06-01 09:31:05.574,173711.66754269,252892.122747433
267,TEAM10054239,2019-06-01 09:31:05.542,173728.25479539,252905.737386406
268,TEAM10054239,2019-06-01 09:31:05.513,173743.904324897,252918.857732847
269,TEAM10054239,2019-06-01 09:31:05.480,173757.930724335,252933.191996535
270,TEAM10054239,2019-06-01 09:31:05.448,173772.857394926,252946.469778057
271,TEAM10054239,2019-06-01 09:31:05.415,173789.144613103,252937.409325542
272,TEAM10054239,2019-06-01 09:31:05.384,173803.48950299,252923.746023638
273,TEAM10054239,2019-06-01 09:31:05.352,173803.496467632,252903.796841079
274,TEAM10054239,2019-06-01 09:31:05.325,173785.8109383,252873.781677171
275,TEAM10054239,2019-06-01 09:31:05.295,173764.546654281,252853.670388944
276,TEAM10054239,2019-06-01 09:31:05.263,173745.241763775,252833.272857945
277,TEAM10054239,2019-06-01 09:31:05.235,173725.510327703,252812.741244287
278,TEAM10054239,2019-06-01 09:31:05.204,173709.015443479,252788.678053035
279,TEAM10054239,2019-06-01 09:31:05.173,173691.550511497,252764.66427137
280,TEAM10054239,2019-06-01 09:31:05.068,173704.902477129,252741.092326464
281,TEAM10054239,2019-06-01 09:31:05.041,173726.117873371,252723.92902001
282,TEAM10054239,2019-06-01 09:31:05.009,173724.867768951,252698.984508308
283,TEAM10054239,2019-06-01 09:31:04.977,173709.421178795,252672.922509434
284,TEAM10054239,2019-06-01 09:31:04.943,173693.397061341,252653.059280287
285,TEAM10054239,2019-06-01 09:31:04.909,173680.350204146,252633.594675349
286,TEAM10054239,2019-06-01 09:31:04.870,173661.762390951,252613.820960841
287,TEAM10054239,2019-06-01 09:31:04.835,173644.147056346,252592.987232559
288,TEAM10054239,2019-06-01 09:31:04.803,173626.54310048,252572.004846291
289,TEAM10054239,2019-06-01 09:31:04.770,173607.651668638,252551.343489033
290,TEAM10054239,2019-06-01 09:31:04.737,173588.648637417,252531.963844413
291,TEAM10054239,2019-06-01 09:31:04.707,173572.657825996,252509.557994951
292,TEAM10054239,2019-06-01 09:31:04.663,173549.674876991,252511.237366633
293,TEAM10054239,2019-06-01 09:31:04.633,173527.908656337,252527.377584171
294,TEAM10054239,2019-06-01 09:31:04.604,173505.765605248,252540.920738756
295,TEAM10054239,2019-06-01 09:31:04.574,173484.313047269,252556.076120766
296,TEAM10054239,2019-06-01 09:31:04.543,173465.318236955,252572.462522655
297,TEAM10054239,2019-06-01 09:31:04.511,173451.106201384,252566.673811543
298,TEAM10054239,2019-06-01 09:31:04.483,173474.281307964,252547.72477721
299,TEAM10054239,2019-06-01 09:31:04.447,173494.263751924,252530.412520908
300,TEAM10054239,2019-06-01 09:31:04.418,173515.414478713,252511.717953618
301,TEAM10054239,2019-06-01 09:31:04.390,173534.016212652,252491.174778737
302,TEAM10054239,2019-06-01 09:31:04.361,173526.27280382,252467.533733868
303,TEAM10054239,2019-06-01 09:31:04.323,173514.039411076,252441.213168724
304,TEAM10054239,2019-06-01 09:31:04.290,173523.529758964,252416.276482199
305,TEAM10054239,2019-06-01 09:31:04.259,173548.048975317,252404.426110908
306,TEAM10054239,2019-06-01 09:31:04.231,173567.654782433,252390.789427695
307,TEAM10054239,2019-06-01 09:31:04.206,173575.402203792,252384.444639134
308,TEAM10054239,2019-06-01 09:31:04.180,173575.079256279,252386.603344768
309,TEAM10054239,2019-06-01 09:31:04.149,173589.042204484,252370.935037335
310,TEAM10054239,2019-06-01 09:31:04.117,173608.30592257,252355.94263815
311,TEAM10054239,2019-06-01 09:31:04.089,173623.249885344,252334.165446755
312,TEAM10054239,2019-06-01 09:31:04.061,173608.61314033,252307.360216996
313,TEAM10054239,2019-06-01 09:31:04.030,173590.821442109,252284.270592126
314,TEAM10054239,2019-06-01 09:31:04.001,173572.159168402,252262.450441806
315,TEAM10054239,2019-06-01 09:31:03.969,173553.818519288,252239.944904344
316,TEAM10054239,2019-06-01 09:31:03.940,173537.698664778,252220.552610515
317,TEAM10054239,2019-06-01 09:31:03.898,173513.561137366,252211.823724061
318,TEAM10054239,2019-06-01 09:31:03.857,173487.267867215,252212.407854954
319,TEAM10054239,2019-06-01 09:31:03.828,173462.814345413,252212.993390259
320,TEAM10054239,2019-06-01 09:31:03.799,173435.296067617,252228.809889032
321,TEAM10054239,2019-06-01 09:31:03.764,173411.280433865,252246.048538415
322,TEAM10054239,2019-06-01 09:31:03.736,173396.731492921,252268.022401473
323,TEAM10054239,2019-06-01 09:31:03.704,173379.544017131,252286.632499671
324,TEAM10054239,2019-06-01 09:31:03.670,173362.229274507,252309.879165709
325,TEAM10054239,2019-06-01 09:31:03.639,173338.268601266,252327.974305357
326,TEAM10054239,2019-06-01 09:31:03.606,173316.822460556,252347.296944602
327,TEAM10054239,2019-06-01 09:31:03.574,173292.407496011,252366.007025511
328,TEAM10054239,2019-06-01 09:31:03.548,173268.083244484,252382.240736595
329,TEAM10054239,2019-06-01 09:31:03.511,173245.084083817,252401.949710333
330,TEAM10054239,2019-06-01 09:31:03.483,173224.942267976,252418.793699495
331,TEAM10054239,2019-06-01 09:31:03.448,173204.464100397,252436.908976002
332,TEAM10054239,2019-06-01 09:31:03.416,173184.131824696,252457.045192285
333,TEAM10054239,2019-06-01 09:31:03.388,173185.920529302,252480.867568422
334,TEAM10054239,2019-06-01 09:31:03.362,173185.934152433,252512.396568051
335,TEAM10054239,2019-06-01 09:31:03.333,173166.396601509,252530.951831469
336,TEAM10054239,2019-06-01 09:31:03.307,173155.055994768,252538.482347124
337,TEAM10054239,2019-06-01 09:31:03.280,173139.688655887,252554.765613027
338,TEAM10054239,2019-06-01 09:31:03.255,173119.627249241,252568.293620765
339,TEAM10054239,2019-06-01 09:31:03.230,173099.275836815,252586.419863349
340,TEAM10054239,2019-06-01 09:31:03.206,173082.216602401,252600.65359317
341,TEAM10054239,2019-06-01 09:31:03.178,173087.24263104,252609.94777613
342,TEAM10054239,2019-06-01 09:31:03.150,173089.871289017,252612.409572678
343,TEAM10054239,2019-06-01 09:31:03.118,173092.482139839,252615.657984369
344,TEAM10054239,2019-06-01 09:31:03.091,173093.517576489,252615.793618491
345,TEAM10054239,2019-06-01 09:31:03.061,173094.062517054,252615.479168577
346,TEAM10054239,2019-06-01 09:31:03.029,173093.250064593,252615.304050753
347,TEAM10054239,2019-06-01 09:31:02.999,173091.873457444,252617.307225524
348,TEAM10054239,2019-06-01 09:31:02.967,173093.366135177,252616.843552243
349,TEAM10054239,2019-06-01 09:31:02.935,173092.609987563,252613.735024857
350,TEAM10054239,2019-06-01 09:31:02.885,173092.392164635,252613.975294119
351,TEAM10054239,2019-06-01 09:31:02.842,173090.257581452,252613.181687598
352,TEAM10054239,2019-06-01 09:31:02.809,173084.295976797,252611.911187544
353,TEAM10054239,2019-06-01 09:31:02.764,173083.410738555,252611.859427396
354,TEAM10054239,2019-06-01 09:31:02.728,173083.390675275,252611.877236673
355,TEAM10054239,2019-06-01 09:31:02.698,173083.397007204,252611.853920748
356,TEAM10054239,2019-06-01 09:31:02.666,173081.617056099,252609.770155818
